Province/State;Country/Region;Lat;Long;Date;Value;ISO 3166-1 Alpha 3-Codes;Region Code;Sub-region Code;Intermediate Region Code;
;Andorra;425.063;15.218;24/03/2020;164;AND;150;39;;
;Andorra;425.063;15.218;23/03/2020;133;AND;150;39;;
;Andorra;425.063;15.218;22/03/2020;113;AND;150;39;;
;Andorra;425.063;15.218;21/03/2020;88;AND;150;39;;
;Andorra;425.063;15.218;20/03/2020;75;AND;150;39;;
;Andorra;425.063;15.218;19/03/2020;53;AND;150;39;;
;Andorra;425.063;15.218;18/03/2020;39;AND;150;39;;
;Andorra;425.063;15.218;17/03/2020;39;AND;150;39;;
;Andorra;425.063;15.218;16/03/2020;2;AND;150;39;;
;Andorra;425.063;15.218;15/03/2020;1;AND;150;39;;
;Andorra;425.063;15.218;14/03/2020;1;AND;150;39;;
;Andorra;425.063;15.218;13/03/2020;1;AND;150;39;;
;Andorra;425.063;15.218;12/03/2020;1;AND;150;39;;
;Andorra;425.063;15.218;11/03/2020;1;AND;150;39;;
;Andorra;425.063;15.218;10/03/2020;1;AND;150;39;;
;Andorra;425.063;15.218;09/03/2020;1;AND;150;39;;
;Andorra;425.063;15.218;08/03/2020;1;AND;150;39;;
;Andorra;425.063;15.218;07/03/2020;1;AND;150;39;;
;Andorra;425.063;15.218;06/03/2020;1;AND;150;39;;
